,item,value
402,alhamdulillah,22
403,voucher,9
404,eror,10
405,kmrn,3
406,sabar,21
407,nanggepin,1
408,neng,8
409,bgt,64
410,lg,18
411,daftar,15
412,extra,1
413,limit,6
414,cs,22
415,sc,1
416,tawar,5
417,upgrade,5
418,hallo,44
419,telkomcare,30
420,operasional,3
421,gerai,3
422,grapari,26
423,jakarta,14
424,psbb,6
425,ayo,3
426,preprocessinglelah,1
427,bacaduluaja,1
428,semangatpuasa,1
429,dg,12
430,k,17
431,btw,6
432,sudaah,1
433,gadikasi,1
434,muncul,15
435,ilang,59
436,team,6
437,shopeeid,1
438,bwt,1
439,ganti,44
440,nmr,7
441,lma,1
442,kartuhalo,15
443,krt,1
444,shopee,2
445,user,3
446,lbih,1
447,dr,23
448,thn,5
449,wkt,2
450,hapus,4
451,akun,8
452,tdk,32
453,transaksi,14
454,susah,56
455,muas,12
456,wkwk,5
457,pandemi,5
458,urus,9
459,tenggamg,1
460,hubung,17
461,trdkat,1
462,sibuk,9
463,video,15
464,good,2
465,job,2
466,hangus,3
467,listrik,34
468,bbrp,7
469,kali,44
470,kecewa,26
471,tingkat,28
472,sistem,16
473,dampak,2
474,kualitas,53
475,untung,13
476,tindak,20
477,cuman,17
478,sukses,13
479,my,19
480,koq,4
481,trims,2
482,hasil,23
483,sn,4
484,puk,3
485,iccid,1
486,diisin,1
487,lancar,52
488,gaming,2
489,ngga,12
490,lag,9
491,via,15
492,direct,1
493,message,3
494,perihal,4
495,tagih,17
496,diluarnegri,1
497,perbankang,1
498,ponsel,2
499,tinggal,24
500,lemari,1
501,bagus,50
502,absen,3
503,putus,33
504,ngajar,1
505,gel,1
506,kuping,1
507,tlpn,2
508,menit,22
509,ribu,18
510,eh,22
511,operator,18
512,cinta,9
513,konsul,1
514,konksi,1
515,firstmediacares,4
516,nanya,12
517,aju,3
518,proposal,1
519,sponsorship,1
520,kira,1
521,syarat,4
522,wassalam,1
523,im,11
524,ooredoo,9
525,psfoundation,1
526,pocariid,1
527,erti,5
528,arti,8
529,sungguh,8
530,youtube,23
531,mentok,2
532,gapapa,1
533,ngeliat,1
534,kompilasi,1
535,idola,1
536,bogeng,1
537,maulana,1
538,adieb,1
539,fadloly,1
540,awut,2
541,gaboleh,1
542,kombinasi,1
543,sebal,6
544,pln,27
545,suram,1
546,personal,1
547,hotspot,4
548,maklum,3
549,xl,5
550,service,9
551,telkomselflash,7
552,koreksi,1
553,buruk,51
554,tante,3
555,internetan,13
556,dmkan,1
557,nomernya,2
558,kerjasamanya,2
559,jele,2
560,senin,3
561,suruh,12
562,lancarin,2
563,inyong,2
564,arep,1
565,ndet,1
566,ndetan,1
567,dkijakarta,1
568,aniesbaswedan,1
569,boring,1
570,didlm,1
571,informasi,17
572,arah,1
573,handphone,11
574,kabar,6
575,iya,8
576,manggis,1
577,error,13
578,banting,2
579,miin,1
580,mengaktivasi,1
581,notifikasi,6
582,istri,4
583,tutup,7
584,sori,2
585,dibales,2
586,fitur,5
587,top,2
588,up,13
589,balance,1
590,tambahin,1
591,bca,1
592,donk,9
593,defeat,1
594,nub,1
595,tani,8
596,ny,4
597,moveon,1
598,puasa,5
599,latih,5
600,uji,9
601,dengar,6
602,kemaren,18
603,tower,18
604,penuh,11
605,sahabat,5
606,rindu,1
607,kak,33
608,terusbergerakmaju,4
609,ke,4
610,down,34
611,ancur,10
612,beranta,2
613,knp,18
614,proses,18
615,coronaindonesia,1
616,kpu,1
617,tata,2
618,milu,1
619,lansung,1
620,adil,2
621,sosial,3
622,kemensosri,1
623,juang,3
624,era,4
625,industri,2
626,itjen,2
627,kemdikbud,7
628,bangsatbangsa,1
629,heii,3
630,smartfrencare,6
631,ber,5
632,janji,5
633,kiki,1
634,gera,2
635,menggaggu,1
636,produktifitas,1
637,esok,1
638,apa,4
639,beda,8
640,sangkut,2
641,buang,8
642,gajelas,6
643,salah,17
644,twitter,17
645,ngerti,6
646,enak,8
647,disetting,1
648,diler,2
