,item,value
1653,laksana,2
1654,bankmandiri,1
1655,bankbni,1
1656,bankbri,1
1657,pertamina,1
1658,event,1
1659,keren,3
1660,festivaldiskonnasional,2
1661,belanjadiskonnasional,2
1662,post,1
1663,tweet,5
1664,aww,1
1665,xixixixi,1
1666,nulis,1
1667,angst,1
1668,refundnya,1
1669,digital,3
1670,customer,8
1671,merespon,2
1672,kenan,1
1673,maen,11
1674,smsin,1
1675,kontak,1
1676,bosan,3
1677,let,1
1678,see,1
1679,taruh,1
1680,lost,2
1681,connection,3
1682,teunom,1
1683,cemat,1
1684,karang,1
1685,mus,1
1686,rawas,1
1687,sumatra,2
1688,rena,1
1689,sigyal,1
1690,yaaaa,1
1691,holla,1
1692,menggangu,1
1693,terkadang,3
1694,beristighfar,1
1695,sembari,1
1696,allah,8
1697,yeaaaay,1
1698,lagiiiii,1
1699,rapi,1
1700,indikasi,1
1701,nyebutin,1
1702,otp,4
1703,akulakuid,1
1704,emporium,2
1705,bintang,1
1706,techno,2
1707,mart,2
1708,karawang,2
1709,krw,1
1710,surat,3
1711,sakit,4
1712,kan,3
1713,atom,1
1714,mall,2
1715,surabaya,2
1716,td,4
1717,tokopedia,1
1718,skg,1
1719,bogor,2
1720,dimention,1
1721,hatrick,1
1722,om,6
1723,nunggu,6
1724,bedug,1
1725,magrib,1
1726,msh,4
1727,mnghubungi,1
1728,jogja,3
1729,rekomendasi,1
1730,hemat,2
1731,sbnrny,1
1732,nerima,1
1733,gbsa,1
1734,mikir,1
1735,akal,4
1736,mgkn,1
1737,sblmny,1
1738,mna,1
1739,syukur,3
1740,log,4
1741,klik,2
1742,halaman,2
1743,kocar,1
1744,kacir,1
1745,perkara,2
1746,order,2
1747,ojek,1
1748,hpnya,3
1749,matek,2
1750,downrank,1
1751,lagiiii,1
1752,telkomseldown,7
1753,kzl,2
1754,hadeh,2
1755,apreciate,1
1756,problem,1
1757,nesya,1
1758,tugurejo,1
1759,ngasem,1
1760,periksa,4
1761,rajaampat,1
1762,urbinasopen,1
1763,waigeo,1
1764,raja,1
1765,ampat,1
1766,cumatemennnnn,1
1767,carenya,1
1768,divisi,2
1769,mention,1
1770,cuk,3
1771,account,1
1772,portal,1
1773,mkiosnya,1
1774,stok,2
1775,paut,1
1776,bye,4
1777,kd,2
1778,aing,3
1779,toosoon,1
1780,pubgm,2
1781,uwangnya,1
1782,jajan,1
1783,kopi,1
1784,udahlah,1
1785,lupain,1
1786,nge,7
1787,daritadi,4
1788,ketidaknyamanannya,2
1789,blalablaaa,1
1790,alit,1
1791,kompetibel,1
1792,ios,2
1793,baharu,1
1794,kompatibel,1
1795,perangkat,1
1796,angsur,1
1797,dunia,5
1798,plosok,1
1799,tanah,2
1800,air,3
1801,crew,1
1802,salatiga,1
1803,hehehe,2
1804,curiga,1
1805,ngaku,5
1806,bri,2
1807,pop,1
1808,atm,1
1809,divhumas,2
1810,polri,3
1811,bank,1
1812,direspon,1
1813,wilsky,1
1814,arion,1
1815,aurora,1
1816,mika,1
1817,kayra,1
1818,laden,1
1819,misuh,1
1820,pemberitahun,1
1821,ussd,1
1822,asisten,1
1823,nihil,1
1824,duluan,1
1825,mbak,10
1826,kondisi,4
1827,bot,2
1828,telegram,1
1829,veronica,1
1830,sapa,1
1831,delay,1
1832,panik,2
1833,pket,2
1834,jan,3
1835,nikmat,5
1836,and,6
1837,fuck,3
1838,your,2
1839,shitty,1
1840,palmerah,1
1841,inetnya,2
1842,keong,3
1843,awet,1
1844,tol,2
1845,layang,1
1846,gelombang,1
1847,maling,1
1848,ayam,1
1849,kokas,1
1850,ylki,2
1851,mereview,1
1852,sgt,2
1853,elok,1
1854,pertanggungjawaban,1
1855,konsumen,4
1856,cengkareng,1
1857,ngerjain,3
1858,asli,12
1859,edge,11
1860,benah,6
1861,narogong,1
1862,spertiga,1
1863,hrs,1
1864,happynewyear,1
1865,jujur,2
1866,karangbinangun,1
1867,lamongan,1
1868,tetiba,1
1869,kakak,3
1870,reload,1
1871,xxxx,2
1872,psn,1
1873,xxx,3
1874,recek,1
1875,mudal,1
1876,argomulyo,1
1877,cangkring,1
1878,sleman,3
1879,sngt,1
1880,minim,1
1881,byar,2
1882,pet,1
1883,menteri,2
1884,indoxx,2
1885,alangkah,2
1886,langkah,1
1887,justifikasi,1
1888,entertainment,1
1889,viu,1
1890,ngerusuhin,1
1891,tralala,1
1892,adem,1
1893,ayem,1
1894,huahahahhaah,1
1895,muantul,1
1896,lantar,1
1897,tlp,4
1898,redeem,3
1899,points,2
1900,gapary,1
1901,denga,1
1902,hadiah,2
1903,hepi,3
1904,adu,1
1905,ds,1
1906,tula,2
1907,sumbersari,1
1908,sine,2
1909,ngawi,2
1910,upload,2
1911,greet,1
1912,gfriend,5
1913,mending,10
1914,gnya,1
1915,gdrive,1
1916,bijak,5
1917,telkomseluploadulang,1
1918,reuploadfotomng,1
1919,rajin,3
1920,bentar,1
1921,bla,6
1922,permanen,1
1923,nonaktif,2
1924,anggap,1
1925,rusak,11
1926,fungsi,4
1927,fisik,2
1928,simcardnya,1
1929,seru,1
1930,mageran,1
1931,instagram,5
1932,live,4
1933,TRUE,1
1934,thompson,1
1935,lucu,2
1936,omgsantuy,2
1937,dec,1
1938,syila,1
1939,ginjal,1
1940,gatal,1
1941,misqueen,1
1942,sobatmisqueen,1
1943,telkomselxgfriend,1
1944,bangeetttt,1
1945,ngerasaain,1
1946,baget,1
1947,disituu,1
1948,alay,1
1949,next,1
1950,ohmygiggfriend,1
1951,tuju,1
1952,jelang,1
1953,stakeholder,1
1954,spesial,1
1955,oy,3
1956,berani,1
1957,kalideres,1
1958,jakbar,1
1959,maxtream,4
1960,waahhh,1
1961,pergi,3
1962,ahh,4
1963,siaga,2
1964,umumin,1
1965,alias,7
1966,bet,3
1967,reedem,1
1968,spot,1
1969,khusunya,1
1970,kumpul,5
1971,tiket,5
1972,riah,2
1973,parameter,1
1974,dibantuin,1
1975,nona,2
1976,sigap,2
1977,kereta,1
1978,motor,1
1979,omgig,1
1980,ketemu,1
1981,ohmygig,1
1982,nabee,1
1983,fix,5
1984,oprator,1
1985,haluan,1
1986,uras,2
1987,musim,4
1988,ujan,9
1989,tumbang,1
1990,taman,1
1991,anggrek,1
1992,banding,5
1993,kesal,1
1994,mmr,2
1995,hapeku,1
1996,bunyi,1
1997,flash,2
1998,tarif,6
1999,non,2
2000,sila,3
2001,fast,2
2002,clear,1
2003,menjdi,1
2004,cm,3
2005,perak,1
2006,mengatasnamakan,2
2007,nipu,1
2008,indomaret,2
2009,alfamart,1
2010,tolak,2
2011,uniqlo,1
2012,ato,1
2013,zara,1
2014,sadar,3
2015,ngucapin,4
2016,kwkwwk,1
2017,gasalah,1
2018,nawarin,1
2019,engkau,3
2020,media,3
2021,beritahu,1
2022,sold,2
2023,out,3
2024,jual,2
2025,unt,1
2026,batal,1
2027,bangun,4
2028,kaget,1
2029,saumlaki,1
2030,tanimbar,2
2031,harbolnas,1
2032,goodby,1
2033,perum,1
2034,bandaramas,1
2035,luv,1
2036,favorit,1
2037,musik,1
2038,bangga,3
2039,japri,1
2040,profil,1
2041,khawatir,3
2042,baiklaah,1
2043,billing,2
2044,prihal,1
2045,duit,5
2046,point,3
2047,legend,5
2048,mobilelegendsol,2
2049,perir,1
2050,jenak,2
2051,stalking,1
2052,instagramdown,1
2053,emank,1
2054,ngapa,8
2055,ngapain,3
2056,hmpa,1
2057,eyke,1
2058,sdah,1
2059,jga,1
2060,jngan,1
2061,tulus,2
2062,positif,1
2063,ngewa,1
2064,trending,3
2065,ehh,3
2066,ternyataa,1
2067,parah,53
2068,mahaltapilemah,1
2069,mita,1
2070,lgi,2
2071,smpaikan,1
2072,aplgi,1
2073,jangka,1
2074,ckup,1
2075,stasiun,1
2076,pancing,2
2077,junk,1
2078,files,1
2079,kirain,6
2080,nyaa,1
2081,unik,1
2082,usim,1
2083,mbanking,2
2084,pelaihari,1
2085,provinsi,4
2086,komunikasi,7
2087,tpi,11
2088,family,1
2089,membernya,1
2090,yogya,1
2091,reward,4
2092,slowrespontelkomsel,1
2093,veryslowrespontelkomsel,1
2094,sept,2
2095,okt,1
2096,bukti,1
2097,depok,5
2098,customernya,1
2099,jeleeeeek,1
2100,pol,1
2101,sblm,1
2102,oktober,1
2103,asia,1
2104,australia,1
2105,china,1
2106,shenzhen,1
2107,tianjin,1
2108,satu,1
2109,sirna,1
2110,byetelkomsel,1
2111,ldr,3
2112,jamin,2
2113,ntt,2
2114,kupang,1
2115,lovestory,1
2116,ekspetasi,1
2117,kuotatanpakhawatir,1
2118,retweet,1
2119,tinjau,3
2120,aru,1
2121,layak,2
2122,pasar,4
2123,induk,1
2124,cibitung,1
2125,legends,1
2126,plat,2
2127,asu,5
2128,waitabula,1
2129,sumba,2
2130,prov,6
2131,kaleng,1
2132,tindaklanjuti,1
2133,sipenipu,1
2134,produk,4
2135,providerku,2
2136,rewel,1
2137,masyarakat,8
2138,polisi,1
2139,interpol,1
2140,ngambek,2
2141,blg,1
2142,nutup,1
2143,medsos,2
2144,coverage,1
2145,dearah,1
2146,nambah,1
2147,wit,2
2148,jayapura,3
2149,kah,8
2150,curi,1
2151,least,1
2152,jambret,1
2153,temans,1
2154,diapain,1
2155,sekolah,3
2156,stm,1
2157,nganggur,2
2158,oknum,1
2159,nikmatin,2
2160,penjuru,1
2161,september,2
2162,biaya,2
2163,aktivitlfasi,1
2164,siar,2
2165,menang,4
2166,inter,1
2167,forzainter,1
2168,klaim,4
2169,dikirimin,1
2170,trlah,1
2171,woy,12
2172,bambang,1
2173,aksi,1
2174,senayan,1
2175,sep,1
2176,denom,1
2177,negan,1
2178,lawa,1
2179,gerak,3
2180,tiada,2
2181,pm,2
2182,macet,3
2183,banda,4
2184,teerooossss,1
2185,unreg,1
2186,nik,1
2187,sadis,1
2188,konsumsi,1
2189,galau,1
2190,takda,1
2191,gib,1
2192,tipi,2
2193,tv,1
2194,sekali,1
2195,tengkiu,1
2196,bpk,4
2197,kas,1
2198,dipapua,1
2199,sorry,1
2200,maki,4
2201,kamorang,1
2202,mberebet,1
2203,karburator,1
2204,soak,3
2205,best,2
2206,domisili,5
2207,tlpon,1
2208,tekan,1
2209,merauke,2
2210,rt,6
2211,rizkindra,1
2212,bani,1
2213,kalah,8
2214,timnas,1
2215,kandang,1
2216,cibinong,1
2217,playstore,1
2218,reguler,1
2219,tembelek,1
2220,singa,1
2221,nasional,1
2222,bagi,3
2223,haripelanggannasional,2
2224,bonus,7
2225,horor,1
2226,graparisemarang,1
2227,mobil,1
2228,terminal,1
2229,cangkir,1
2230,swmarang,1
2231,grabid,2
2232,ovo,3
2233,grab,2
2234,kosong,3
2235,auto,3
2236,kotak,1
2237,vibu,1
2238,mait,1
2239,langit,1
2240,regristasi,1
2241,help,3
2242,handle,1
2243,menelfon,2
2244,tny,1
2245,pack,1
2246,day,1
2247,supercell,1
2248,profesional,1
2249,udang,1
2250,batu,4
2251,usia,1
2252,tahunveronika,8
2253,anitacitt,1
2254,arta,1
2255,richi,1
2256,khaniffla,1
2257,manis,1
2258,tebu,2
2259,gula,1
2260,dirmawan,1
2261,zein,1
2262,devikarlina,1
2263,papua,3
2264,may,1
2265,ongwonu,1
2266,aswinutomo,1
2267,injak,1
2268,dewasa,1
2269,jiwa,4
2270,yukz,1
2271,mallamalla,1
2272,anies,1
2273,lestarie,1
2274,misi,2
2275,sonobekel,1
2276,tanjunganom,1
2277,nganjuk,1
2278,barangkali,1
2279,dantii,1
2280,chichiwindi,1
2281,sopan,1
2282,santun,1
2283,pantun,1
2284,yuk,1
2285,vivi,1
2286,cullent,1
2287,c,1
2288,kra,1
2289,melon,2
2290,nangka,2
2291,rujak,2
2292,mama,3
2293,mirmanda,1
2294,wina,1
2295,win,1
2296,beinsport,1
2297,jernih,1
2298,maxtreamnya,1
2299,real,1
2300,madrid,1
2301,dmanapun,1
2302,colek,1
2303,molatv,2
2304,heran,6
2305,happpppyyyyy,1
2306,bangets,1
2307,lha,1
2308,pestakuota,1
2309,pa,1
2310,bu,1
2311,benerin,13
2312,speed,6
2313,ditambahin,1
2314,saksi,1
2315,juventusfcid,1
2316,pandu,1
2317,games,3
2318,berkah,3
2319,internetlemot,1
2320,telkomselnotrecommededforgames,1
2321,paketmahal,1
2322,agustus,3
2323,terobos,1
2324,pakaitelkomselkuy,1
2325,cerita,2
2326,bodoh,1
2327,serpong,2
2328,rangkasbitung,1
2329,sooo,1
2330,spotify,2
2331,premium,1
2332,spotifyid,1
2333,mayan,2
2334,hola,1
2335,niy,1
2336,radioelshinta,1
2337,saji,1
2338,blackout,1
2339,fakta,2
2340,elshinta,1
2341,ndak,1
2342,haruse,1
2343,hold,1
2344,it,3
2345,masing,1
2346,cimbniaga,1
2347,cimb,1
2348,assists,1
2349,nila,2
2350,xxxxxx,1
2351,standar,1
2352,giofedi,1
2353,upaya,3
2354,kio,1
2355,tirtapatriot,1
2356,lingkung,1
2357,antah,4
2358,gelap,1
2359,madam,3
2360,gadget,1
2361,infoplnjabar,1
2362,introspeksi,2
2363,kapan,1
2364,kolaborasi,1
2365,kalen,1
2366,sedih,3
2367,rip,1
2368,motogp,1
2369,megap,2
2370,kaga,5
2371,bersih,1
2372,worst,1
2373,modar,1
2374,what,1
2375,night,1
2376,simulasi,2
2377,jaman,5
2378,matilampu,2
2379,jabodetabek,2
2380,jateng,2
2381,efek,3
2382,jakartahasfallen,1
2383,collab,1
2384,prank,3
2385,kemenbumn,2
2386,alhamdulilah,1
2387,bete,3
2388,ribut,2
2389,mulus,1
2390,salang,1
2391,simeulue,1
2392,aktivitas,4
2393,karyawati,1
2394,gci,1
2395,ambulu,1
2396,jember,1
2397,training,1
2398,thanks,3
2399,before,1
2400,telkonsel,1
2401,solusinnya,1
2402,komplain,12
2403,twitteran,1
2404,doank,1
2405,bacan,1
2406,tindaklanjutnya,1
2407,guna,1
2408,tailah,1
2409,horeeee,1
2410,caroline,1
2411,gesit,1
2412,kecepatanya,1
2413,susyah,1
2414,trans,1
2415,ngadett,1
2416,uuuu,1
2417,uwuh,1
2418,prioritas,9
2419,cahsback,1
2420,skb,1
2421,cashback,1
2422,pelayananya,1
2423,komplinan,1
2424,kura,3
2425,mahawa,1
2426,gojek,2
2427,nelfon,2
2428,transfer,2
2429,plsa,1
2430,dngn,1
2431,ketrangan,1
2432,katak,4
2433,buji,1
2434,bulungan,2
2435,suasana,1
2436,politik,1
2437,great,1
2438,interval,1
2439,riwayat,1
2440,butut,6
2441,sumedang,1
2442,tanjungsari,1
2443,margaluyu,1
2444,kp,1
2445,patenggeng,1
2446,hilir,2
2447,medan,13
2448,nyambung,3
2449,pengaruh,1
2450,bumi,2
2451,waykanan,1
2452,kupon,1
2453,program,2
2454,terregistrasi,1
2455,ii,2
2456,prop,1
2457,habibthink,1
2458,partaisocmed,1
2459,inovasi,1
2460,huttelkom,1
2461,gamemax,1
2462,redeemnya,1
2463,atma,1
2464,onlien,1
2465,kebapukan,1
2466,males,2
2467,note,1
2468,sederhana,1
2469,ok,2
2470,system,1
2471,wulanggitang,1
2472,flores,1
2473,tenggara,1
2474,wita,2
2475,koto,2
2476,padang,2
2477,pariaman,1
2478,jun,1
2479,di,4
2480,assign,1
2481,bom,2
2482,kno,1
2483,ngadu,2
2484,truk,1
2485,gada,13
2486,arab,1
2487,jombang,1
2488,hahahhaa,1
2489,bandongan,1
2490,magelang,1
2491,mantab,1
2492,cycle,2
2493,sembilan,1
2494,pinggir,3
2495,wonogiri,1
2496,mbah,1
2497,loop,3
2498,alihfungsikan,1
2499,pegawai,1
2500,kasir,1
2501,ira,1
2502,ask,3
2503,axis,4
2504,jahat,1
2505,nan,1
2506,galak,1
2507,smoga,1
2508,telekomunikasi,2
2509,khilaf,1
2510,items,1
2511,mepet,1
2512,reset,5
2513,dituker,1
2514,muktisari,1
2515,kebumen,2
2516,freecall,1
2517,gaya,2
2518,pacar,4
2519,line,3
2520,facetime,1
2521,lrt,1
2522,ongkos,2
2523,bathin,1
2524,torrojagratara,1
2525,torro,1
2526,pekan,2
2527,viani,1
2528,uclfinal,1
2529,xlxplor,1
2530,welcome,1
2531,topup,1
2532,refund,1
2533,angkat,1
2534,meinterview,1
2535,ibuk,1
2536,interview,3
2537,nasehat,1
2538,wejang,1
2539,makna,1
2540,fb,2
2541,whatsappdown,1
2542,malang,1
2543,ttl,1
2544,angka,1
2545,ms,3
2546,sintang,1
2547,cirebon,1
2548,kesambi,1
2549,huhu,2
2550,ccicpolri,1
2551,transparan,1
2552,kt,1
2553,langgeng,1
2554,sampah,6
2555,match,1
2556,liga,1
2557,inggris,2
2558,roman,1
2559,sembuh,3
2560,tanding,1
2561,ush,1
2562,nemuin,1
2563,alif,1
2564,ketidaknyamanan,1
2565,detail,1
2566,capture,1
2567,indra,1
2568,rada,4
2569,pict,1
2570,vid,1
2571,maghrib,2
2572,cust,2
2573,servicenya,2
2574,ramah,1
2575,kes,1
2576,cuek,1
2577,ngebandingin,1
2578,hubungin,1
2579,purwokerto,1
2580,ahirnya,1
2581,nyet,2
2582,imessage,1
2583,mandiricare,1
2584,lho,5
2585,dingunakan,1
2586,make,5
2587,omnidirectional,1
2588,jenis,1
2589,rectangular,1
2590,complaint,1
2591,mutasi,1
2592,tercintah,1
2593,lagiii,1
2594,subhanallah,1
2595,tawakal,1
2596,lempar,2
2597,experience,1
2598,ml,4
2599,bronze,1
2600,kudu,3
2601,indinya,1
2602,skema,1
2603,pp,1
2604,website,1
2605,bantuanya,1
2606,refresh,9
2607,sinya,3
2608,nuker,1
2609,belm,1
2610,catat,2
2611,defensif,1
2612,samuelmantiri,1
2613,rupa,1
2614,prima,1
2615,sakhi,1
2616,tahun,3
2617,bumn,4
2618,taun,1
2619,bandara,2
2620,boarding,1
2621,ngabisin,4
2622,can,1
2623,eat,1
2624,lounge,1
2625,sidoarjo,3
2626,konektivitas,1
2627,tps,1
2628,hitung,1
2629,suara,5
2630,thevictoryofprabowo,1
2631,jagatpskawalhasilsuara,1
2632,bismillahinshaaallahprabowomenang,1
2633,login,2
2634,magic,3
2635,browser,1
2636,with,2
2637,tuan,2
2638,warung,1
2639,mertua,1
2640,mkios,1
2641,sukaresmi,1
2642,cikarang,3
2643,lep,1
2644,lepan,1
2645,max,4
2646,cidokom,1
2647,sli,1
2648,notifnya,1
2649,do,1
2650,barang,1
2651,sumbang,2
2652,rezeki,1
2653,minta,1
2654,image,1
2655,nembus,1
2656,hutan,3
2657,hallonya,1
2658,nntn,2
2659,kyk,1
2660,contoh,1
2661,wadadidaw,1
2662,semangkin,2
2663,manual,4
2664,infot,1
2665,mintak,4
2666,ampun,15
2667,ditanyain,1
2668,perbaikaaan,1
2669,jaringaaaaaannn,1
2670,malesin,2
2671,kapasitas,1
2672,soryy,1
2673,sya,2
2674,krna,3
2675,mendung,2
2676,pelosok,4
2677,teknis,1
2678,telkomnyet,1
2679,ulat,1
2680,duh,3
2681,internetmu,2
2682,maros,1
2683,sulsel,1
2684,kenapasihh,1
2685,bodo,1
2686,huff,1
2687,oi,6
2688,bedebah,1
2689,dua,1
2690,bapuk,9
2691,kalisuren,1
2692,tajurhalang,1
2693,sni,1
2694,u,2
2695,terimaksih,1
2696,hahaha,1
2697,lol,1
2698,banjarmasin,1
2699,takut,2
2700,sampel,1
2701,ngaret,1
2702,laen,3
2703,waringinkurung,1
2704,serang,1
2705,banten,1
2706,mgg,1
2707,ngeleg,1
2708,bg,1
2709,tel,3
2710,ampas,6
2711,batsi,1
2712,rongsyok,1
2713,burik,3
2714,anjir,4
2715,ndek,1
2716,kene,1
2717,wis,1
2718,tk,1
2719,tuku,1
2720,lu,31
2721,gembel,1
2722,gunung,3
2723,putri,1
2724,connecting,1
2725,teh,5
2726,geus,1
2727,jangkrik,1
2728,astaghfirullah,1
2729,nguji,1
2730,baperan,1
2731,ambyar,1
2732,kejer,1
2733,deadline,1
2734,gereget,1
2735,sok,1
2736,hayang,1
2737,udat,1
2738,adat,1
2739,robbi,1
2740,numpang,2
2741,gimanaa,2
2742,yaamplop,1
2743,tenan,2
2744,siput,2
2745,tenggarong,1
2746,push,4
2747,rank,5
2748,dikerjain,2
2749,lngsung,1
2750,babi,7
2751,longiram,1
2752,suuu,1
2753,krena,1
2754,pulaa,1
2755,trooosssss,1
2756,macamm,1
2757,boss,1
2758,direfres,1
2759,kian,1
2760,puruk,1
2761,brengsek,2
2762,banar,1
2763,nahhh,1
2764,puncak,2
2765,ibukota,2
2766,bantaeng,1
2767,dlm,4
2768,bengek,1
2769,shit,1
2770,oiii,1
2771,lemo,1
2772,cilegon,1
2773,bantuuu,1
2774,plizzz,1
2775,hey,8
2776,pushrank,2
2777,ily,1
2778,km,3
2779,kesini,9
2780,hadehh,1
2781,ampuuun,1
2782,jago,1
2783,bgini,3
2784,ampe,4
2785,hei,6
2786,gerangan,1
2787,beeeud,1
2788,coy,1
2789,telkomselpku,1
2790,intruksi,1
2791,ikutin,1
2792,medsosan,1
2793,latency,1
2794,ntaaaapppsss,1
2795,dts,1
2796,kominfo,1
2797,baktikominfo,1
2798,peubege,1
2799,gorontalo,1
2800,slalu,2
2801,loadingnya,3
2802,rubah,1
2803,bobrok,5
2804,trobel,2
2805,jaringanny,1
2806,imbang,1
2807,kbps,6
2808,terpa,1
2809,keluhanpenggunatelkomsel,1
2810,huuuft,1
2811,pasongsongan,1
2812,sumenep,1
2813,madura,2
2814,drop,7
2815,cape,5
2816,bolak,4
2817,apn,3
2818,mlu,1
2819,deket,2
2820,sita,1
2821,pantes,4
2822,kesi,1
2823,emak,1
2824,gbisa,1
2825,gmn,1
2826,bos,14
2827,rebo,3
2828,jaktim,1
2829,kl,2
2830,patent,1
2831,pelihara,4
2832,telkommonatevibes,1
2833,hatinggian,1
2834,tipis,1
2835,alamat,2
2836,blang,1
2837,mesjid,1
2838,beutong,1
2839,nagan,1
2840,tks,1
2841,kenceng,5
2842,martapura,1
2843,kalsel,2
2844,minasatene,1
2845,pangkajene,1
2846,sulawesi,4
2847,submit,2
2848,uts,1
2849,jurnal,2
2850,nilai,2
2851,lur,1
2852,ieu,5
2853,kieu,2
2854,anying,6
2855,hih,3
2856,diajarin,1
2857,sambat,1
2858,henpon,1
2859,akutuu,1
2860,lama,3
2861,gila,3
2862,indihomo,1
2863,gemnaa,1
2864,ane,2
2865,haram,1
2866,manteng,1
2867,lamaaa,1
2868,bngt,4
2869,monmaap,1
2870,aksea,1
2871,wahh,1
2872,there,1
2873,telaga,1
2874,bestari,1
2875,wanakerta,1
2876,flight,1
2877,apain,1
2878,duper,1
2879,load,3
2880,tl,1
2881,jelex,1
2882,trssssss,1
2883,cempaka,1
2884,putih,1
2885,amblek,1
2886,bossss,1
2887,subuh,1
2888,muter,10
2889,macem,2
2890,abg,1
2891,puber,1
2892,latensi,1
2893,idup,2
2894,something,1
2895,posting,1
2896,telekomsel,1
2897,sumpa,1
2898,ak,5
2899,masyaallah,1
2900,ppppppp,1
2901,sumsel,1
2902,new,2
2903,eeuhhh,1
2904,dlam,1
2905,kal,1
2906,ketapang,1
2907,pkai,1
2908,ujaaan,1
2909,ngehype,1
2910,ntar,2
2911,lemod,1
2912,yaallah,1
2913,apapaun,1
2914,nyesel,1
2915,cacat,3
2916,hm,1
2917,ulah,1
2918,telkomselmanado,1
2919,baikin,1
2920,anjim,2
2921,ngaco,3
2922,cisarua,1
2923,citeko,1
2924,waemata,1
2925,capeee,1
2926,chatan,1
2927,huuuuuuffff,1
2928,stres,2
2929,muhasabah,2
2930,semena,1
2931,mena,1
2932,kontol,3
2933,goblok,1
2934,sepeeti,1
2935,janganselingkuh,1
2936,kmu,1
2937,kopo,1
2938,cirangrang,1
2939,cibaduyut,1
2940,populer,1
2941,dih,1
2942,tolol,1
2943,hehh,1
2944,maneh,2
2945,keur,1
2946,goreng,2
2947,cikalong,1
2948,kbb,1
2949,mah,5
2950,laham,1
2951,lapur,1
2952,ngehubungin,1
2953,astaga,2
2954,klu,1
2955,gasuka,1
2956,gapake,1
2957,dimatiin,2
2958,emg,3
2959,sengaja,3
2960,kann,1
2961,de,2
2962,am,1
2963,em,1
2964,ngikutin,1
2965,pemakek,1
2966,palat,1
2967,ama,4
2968,anjing,6
2969,diciledug,1
2970,kanpa,1
2971,assignment,1
2972,derita,2
2973,ngandelin,1
2974,kesel,9
2975,bat,2
2976,kentut,1
2977,wenang,1
2978,koyok,1
2979,suwe,1
2980,tumben,5
2981,smpe,4
2982,planning,1
2983,mw,1
2984,serial,1
2985,mr,1
2986,sunshine,1
2987,buffer,3
2988,plis,6
2989,fokus,1
2990,drpd,2
2991,banyakin,1
2992,promosi,1
2993,slow,2
2994,kerupuk,1
2995,ajiggg,1
2996,cilamaya,1
2997,suek,1
2998,internetku,1
2999,lagging,2
3000,benda,1
3001,camera,2
3002,target,1
3003,kloning,1
3004,resmi,1
3005,kpk,1
3006,nda,3
3007,teruss,1
3008,cianjur,1
3009,pipip,1
3010,calon,1
3011,mantu,1
3012,ganteng,1
3013,dahal,1
3014,direset,1
3015,sampee,1
3016,panas,1
3017,ledak,1
3018,grgr,3
3019,thank,2
3020,travis,1
3021,cott,1
3022,cacad,1
3023,replies,1
3024,freeze,1
3025,nyusahin,3
3026,rusuh,1
3027,pbl,1
3028,woii,4
3029,lola,4
3030,helpdesk,1
3031,bandwidthnya,1
3032,rendah,2
3033,akm,1
3034,aktifitas,2
3035,sentul,1
3036,ari,1
3037,iye,1
3038,kunaon,1
3039,meuni,2
3040,slmat,1
3041,lwat,1
3042,mytelkom,1
3043,maba,2
3044,halmahera,2
3045,opo,1
3046,lek,1
3047,maleh,1
3048,gaiso,1
3049,cokk,1
3050,ono,1
3051,tetring,1
3052,konco,1
3053,seng,2
3054,nggawe,1
3055,abang,1
3056,sijine,1
3057,pinter,1
3058,iku,1
3059,bacotin,1
3060,dh,1
3061,planet,1
3062,pluto,1
3063,woooyyy,1
3064,woyyy,1
3065,gaenak,2
3066,antri,1
3067,nungguin,2
3068,woooyyyyy,1
3069,gerimis,2
3070,halooo,1
3071,snap,1
3072,tolonggg,1
3073,tiktok,2
3074,dalih,1
3075,raga,1
3076,palembang,4
3077,ajaa,1
3078,susahh,1
3079,tu,4
3080,mehong,1
3081,lak,1
3082,ngerusak,1
3083,allahu,1
3084,akbarr,1
3085,esmosik,1
3086,tai,9
3087,woeee,1
3088,muluuuu,1
3089,cmn,1
3090,apk,2
3091,situasi,1
3092,ngirim,3
3093,woeeyyy,1
3094,kepala,1
3095,tanduk,1
3096,tetanggan,1
3097,walikota,1
3098,pucuk,1
3099,laknat,1
3100,pantesan,1
3101,dalcomsoft,1
3102,kesabran,1
3103,topic,1
3104,ngerasain,2
3105,tewas,1
3106,muluuu,1
3107,alir,1
3108,complain,3
3109,alesannya,2
3110,wei,1
3111,dgb,1
3112,visi,1
3113,dijakarta,1
3114,maluin,1
3115,mediakonsumenid,1
3116,ancorrrrrrr,1
3117,kgk,1
3118,nyuri,2
3119,stop,1
3120,tayi,1
3121,tanganin,1
3122,aje,1
3123,wr,1
3124,bgsat,1
3125,makassar,3
3126,simpan,1
3127,siur,1
3128,direjet,1
3129,berat,3
3130,cok,2
3131,kenapose,1
3132,ente,3
3133,idninternetlemot,1
3134,daruratinternet,1
3135,teknisi,2
3136,bamget,1
3137,pakek,2
3138,ngadepin,3
3139,serba,1
3140,setting,3
3141,lewatin,2
3142,tamu,1
3143,hektar,1
3144,belantara,1
3145,kootaa,1
3146,tes,1
3147,sangihe,3
3148,provsulut,1
3149,disangihe,1
3150,sangihejugaindonesia,2
3151,padahl,2
3152,utuh,1
3153,jumpa,1
3154,erickthohir,2
3155,provide,4
3156,gabutuh,1
3157,nyampah,1
3158,zzzz,1
